"","rating","total_friends","number_reviews","review","overall_rating","difference_rating","isFraud"
"1","4","142","77","This was a very nice brunch. The waiter was very quick and efficient. The atmosphere was very inviting and the food was delicious and filling. The 1star short of awesome was the silverware had some food stuck on it and that was a concern for me.","3",1,"0"
"2","1","116","38","This used to be one of my favorite local spots for breakfast but sadly the service is not what it used to be. Was seated and given coffee by the greeter at 11:23am and literally not one waitstaff stopped at my table until 23 minutes later and it was not busy. I literally had to flag down the greeter who seated me to tell him not one person stopped at my table all awhile they took orders from three other tables around me that came in afterwards, and I see other waitstaff talking, laughing and watching TV. Greeter took my order and I asked for the manager who even took his time coming out. At this point, I told the greeter to just cancel my order and charge me for the coffee. I'm not sticking around. My breakfast was ruined due to the lousy service. If there was a way I could place my order directly with the cooks and retrieve my food  and completely eliminate  any interaction with the waitstaff, I would... They absolutely suck. I hope the YT staff reads this message and GYST!","3",-2,"0"
"3","2","0","47","The food was good. Understaffed beyond belief! Servers running around like crazy, food taking forever to come out of the kitchen (can't really be the servers fault because the orders are being sent in from the handheld device at the table). We split our group in two because the wait was so long, and one table got food 25 minutes before the other, both ordered at the same time.From the sound of it, this is a normal occurrence when they get busy. If they are anywhere close to full, you might want to pick somewhere else.","3",-1,"0"
"4","5","0","3","Great place for breakfast...love M @ M Omlets! And corned beef hash!","3",2,"0"
"5","5","14","4","The food was absolutely delicious! That was my first time visiting. My boyfriend and I both had the Killit Skillit and Belgian waffles. I didn't think I could finish all that food, but I did. The service was excellent as well. I'll definitely be back to visit.","3",2,"0"
"6","3","50","14","The food here is really, really good. The service here is really, really slow. The buffalo wrap is delicious. The sandwiches here are great. The Quarter Pound Burger I thought was the best deal in town until this past week.I developed a bad case of food poisoning after eating here.I did notice that the burger I ordered had mushrooms that were not entirely cooked although I didn't say anything because I was hungry.  The virus itself can be caused by bad meat or produce, not washing lettuce and vegetables thoroughly.I have noticed some bad habits by the servers over the years here as well. Trays stacked with dirty dishes that are left out in the dining room, or the counter that sneezes when shes counting your money and hands it back to you.Inn on Coventry and big Als are preferable breakfast places. There's also a place called Michael's Diner on the square thats not bad.","3",0,"0"
"7","1",NA,"491","I love YT restaurants in general but after the experience I had last night at this branch, I will not go back until the manager that worked last night is fired. I specifically asked about a certain dish based on the photo in the menu. I needed to know because my gut will have major problems if I have gluten. I was assured by the waiter that it was not battered. What came out was was battered chicken fingers and not the chicken wings I ordered. I was then told that they didn't have chicken wings and walked away without asking me if I wanted anything else. We had already waited 20 or so min for the food to be delivered after ordering and the sandwich I ordered (with gluten free bread) to go with the wings was already only luke warm by that point. I ate the sandwich. The waiter returned when I was halfway done with the sandwich and then asked if I wanted anything instead. By that time i wasn't about to wait another 20 min for another entree. The waiter was very nice and simply made a mistake. I was willing to let this all go but then this happened. The waiter came by with this electronic pad for payment. When I went to select my tip, I noticed the tip amounts were dollars more than what the tip percentages should have been. I pointed it out to the waiter and he was surprised and went to get the manager. The manager came over and said ""what's the problem here?""  I thought the waiter would have told him about the tip percentages being wrong. I showed him my bill and told him that a 20% tip based on my bill would be x amount. And then showed him the device and the tip amount it shows for 20%. Much more. He grumbled words I didn't understand and took the device and started punching stuff in it. I asked him if it was basing the tip amounts on the original figure from before they took off the chicken wings. He looked at me and said we don't sell them here. I told him that I had specifically asked about them and was assured that you did and that nothing was battered because of the gluten intolerance. He wouldn't even look at me and he kept doing stuff with the device. Then he put the device in front of me and said type in what you want to give for a tip. I typed in $3. He said to me, ""is that all?"" I said that's more than 20% but he puts my new receipt down with the tip added into the original amount and no pen to sign, turned around and walked away as fast as possible. Next thing I know, I get an alert on my phone as I always do when I'm at a restaurant or store and purchase something. The amount is $4+ more than the total with the tip. Normally it goes through initially for the amount without the tip and the tip shows up during final processing. I couldn't believe his treatment of me to start with but this was too much. I brought my receipts and phone up to him at the register and asked him why he charged me over $4 more than my total with tip. He said he charged me correctly. I said that my bank charge says otherwise and try to show him. He refuses to look at it and said that he put it in correctly and nothing went through yet. I said it obviously did go through because it's already been charged to my account. He said the correct amount will show up at 4:30 am when the bulk processing happens. I asked him how the wrong amount showed up on my account if he put in the correct amount. He just said the correct amount will show up at 4:30 am. At this point, there was no point in discussing the matter with him any further. I told him it had better be correct and that this has been the worst experience. He never looked at me or apologized.  Mind you, this morning the amount on my bank is still incorrect. This manager has committed fraud and is one of the worst restaurant managers ever. I tend to tip 20-30% based on service. Despite the error the waiter made he was still a good waiter in every other way. His tip was more than 25% based on the total. However, charging me an additional $4+ for what, I don't know, was fraud and that I will not tolerate on any level.","3",-2,"0"
"8","1","0","6","This restaurant is not staffed appropriately to handle the customers.  The server was completely apologetic and hardworking but the length of time it took to be properly seated and served was unacceptable.  The food was good but the service was way too slow.","3",-2,"0"
"9","4","0","5","I had the kill it skillet, bad for me, but filling and pretty good.  The service was fine.  Go here when you want an old style breakfast any time of the day.","3",1,"0"
"10","3","52","14","Though I love the Chagrin location of Your's Truly, I am sad to say I was disappointed in the Shaker Square location. The food was still up to par however the service left much to be desired. Multiple times throughout the meal, my friends and I genuinely thought our waitress forgot about us... I will still most likely come back because I love the food and the variety they offer but I may either stick with the Chagrin location or opt for takeout.","3",0,"0"
